scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw_l,paw_l,paw_l,paw_r,paw_r,paw_r
coords,x,y,likelihood,x,y,likelihood
38,37.503662109375,71.85050201416016,0.9994765520095824,54.26202392578125,75.3650894165039,0.9988837242126464
39,37.506744384765625,71.85222625732422,0.999470055103302,54.26871871948242,75.36444091796875,0.9988399744033812
40,37.50461196899414,71.85517883300781,0.9994589686393738,54.263633728027344,75.36681365966797,0.998872458934784
41,37.50374603271485,71.85967254638672,0.9994412660598756,54.25581741333008,75.36776733398438,0.9989206790924072
42,37.50869369506836,71.86219024658203,0.9994296431541444,54.26266479492188,75.36283111572266,0.9988754391670228
43,37.5685920715332,71.9228515625,0.9991680383682252,54.2589111328125,75.3597183227539,0.998899221420288
44,37.53514099121094,71.91012573242188,0.9992351531982422,54.18223190307617,75.36768341064453,0.999286651611328
45,37.53705978393555,71.87504577636719,0.9993999004364014,54.19110870361328,75.37543487548828,0.9992514848709106
46,37.56707382202149,71.75498962402344,0.999735414981842,54.19776916503906,75.40525817871094,0.9989328980445862
47,37.53352737426758,71.64335632324219,0.9998871684074402,54.41866302490234,75.10294342041016,0.9964845180511476
48,37.174259185791016,71.65480041503906,0.9995189309120178,54.27635955810547,74.89366149902344,0.9985684752464294
49,36.79719543457031,71.63551330566406,0.9998703002929688,54.20016098022461,74.6219253540039,0.9991936683654784
50,36.6849365234375,71.44664001464844,0.999962329864502,53.29557800292969,74.09525299072266,0.9990689754486084
51,39.17832565307617,63.930999755859375,0.9980303645133972,51.990352630615234,73.84656524658203,0.9999264478683472
52,45.07795715332031,57.97318649291992,0.9997228980064392,51.96513748168945,72.18050384521484,0.9998701810836792
53,50.63606262207031,58.43267440795898,0.9987529516220092,51.53622817993164,71.89434051513672,0.9992855191230774
54,54.00977325439453,57.77805709838867,0.9998827576637268,49.60285186767578,71.49104309082031,0.9999093413352966
55,53.56458282470703,57.438323974609375,0.9992596507072448,47.9350471496582,70.91836547851562,0.9995204210281372
56,54.041603088378906,56.516719818115234,0.9993863105773926,50.73445129394531,69.42427825927734,0.9998809099197388
57,55.73591613769531,56.60651016235352,0.9997299313545228,57.41166687011719,69.81966400146484,0.9980076551437378
58,56.21808624267578,56.8946647644043,0.996436595916748,61.43272018432617,70.29241943359375,0.9973726868629456
59,56.35406112670898,56.76655960083008,0.9975365400314332,60.519649505615234,69.17926788330078,0.999640703201294
60,56.51169204711914,56.47425842285156,0.9998199939727784,59.711029052734375,68.17276763916016,0.9999552369117736
61,56.52022171020508,56.20681381225586,0.99992835521698,58.74287796020508,67.67424774169922,0.99980890750885
62,56.68452072143555,56.02772521972656,0.9971429705619812,57.596923828125,67.41665649414062,0.99995756149292
63,57.23263549804688,55.9943962097168,0.9977884888648988,59.79487228393555,67.17144012451172,0.999156415462494
64,57.619903564453125,56.22441482543945,0.9999490976333618,65.80667114257812,68.36373901367188,0.9998478889465332
65,57.84465408325195,55.68601989746094,0.9997519254684448,65.68197631835938,67.54720306396484,0.999944031238556
66,57.891876220703125,55.349727630615234,0.996981918811798,65.38313293457031,67.16028594970703,0.9971747994422911
67,57.52009201049805,54.757568359375,0.9999577403068542,64.29048156738281,66.62686157226562,0.9989290833473206
68,56.94142150878906,55.03770065307617,0.9995851516723632,63.28106689453125,65.9013442993164,0.998893976211548
69,56.87919235229492,54.68504333496094,0.9999380707740784,66.20789337158203,65.01099395751953,0.999554455280304
70,57.05841827392578,54.59982299804688,0.9997522830963136,71.9139633178711,66.7514877319336,0.999974250793457
