scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,194.7176,159.2852,0.9995,211.1400,197.8900,0.9994,216.7083,173.2944,0.9998,234.9797,206.1890,0.9990,239.9266,183.1332,0.9989,255.0815,219.3412,1.0000,226.6491,152.6306,0.9997,229.3683,190.0714,0.9996,240.3243,173.2041,1.0000,248.0947,201.2940,0.9982,258.7553,181.6508,0.9969,272.4868,210.9597,0.9990
35,194.5494,159.2758,0.9997,210.9805,197.6027,0.9984,216.4878,173.2830,0.9999,235.2366,205.8975,0.9994,239.9659,183.0292,0.9988,254.6770,219.1836,0.9990,226.3227,152.5872,0.9999,229.7627,189.3966,0.9988,240.2489,172.9913,0.9968,248.1742,201.6071,0.9979,258.6856,181.5321,0.9976,272.4869,211.3060,0.9981
36,194.4444,159.3177,0.9998,210.8106,197.9138,0.9997,216.1464,173.3058,1.0000,234.9586,205.9554,0.9995,239.8754,183.0690,0.9989,254.4124,219.1388,0.9996,226.1785,152.5560,0.9999,229.7569,189.0924,0.9988,240.0290,172.9520,0.9977,248.1682,201.3278,0.9976,258.9548,181.4220,0.9999,272.6747,211.3072,0.9973
37,194.3419,159.4739,0.9998,210.3646,197.9034,0.9999,215.8716,173.2034,1.0000,234.5866,205.8777,0.9997,239.8477,183.1604,0.9988,254.1532,219.0938,0.9998,226.0390,152.5365,0.9999,229.5824,188.9063,0.9972,239.7058,172.8611,0.9987,247.7281,201.1909,0.9949,258.8820,181.4664,0.9999,272.4159,211.0928,0.9985
38,194.1248,159.5011,0.9999,209.6296,198.0775,1.0000,215.5423,173.0499,0.9982,233.7963,205.7604,0.9990,239.3488,183.4098,0.9989,252.8343,218.8170,0.9987,225.7605,152.4095,0.9977,229.9239,188.7050,0.9963,239.0724,173.0348,0.9983,248.1451,200.4717,0.9960,258.8817,181.3237,0.9999,271.9267,209.3233,0.9987
39,194.0454,159.5784,0.9999,209.1904,197.9834,0.9986,215.3407,172.8832,0.9975,233.9258,205.8580,0.9985,238.9391,183.4954,0.9985,252.8285,218.9989,1.0000,226.0140,152.2448,1.0000,230.2284,188.6730,0.9986,238.8566,173.2916,0.9999,248.7898,200.1027,0.9997,259.0308,181.5598,0.9998,271.8292,209.0297,0.9994
40,194.0528,159.5193,0.9999,209.1268,198.0845,0.9990,215.4003,172.9257,0.9971,234.1698,206.0010,0.9995,239.1343,183.5644,0.9979,252.9404,219.2947,1.0000,226.1476,152.1555,1.0000,230.0739,188.9473,0.9966,238.8277,173.1978,0.9999,248.9081,200.1697,0.9997,258.9948,181.4969,0.9998,271.5781,209.1604,0.9991
41,193.8724,159.5627,0.9999,209.0508,198.1194,0.9993,215.3176,172.8511,0.9977,233.9279,206.1207,0.9982,239.4440,183.6183,0.9973,252.8618,219.1453,1.0000,226.0027,152.1936,1.0000,229.5563,189.1016,0.9989,238.6816,173.1659,1.0000,248.5034,200.1364,0.9924,258.8562,181.2917,0.9999,271.2592,209.0806,0.9991
42,193.7966,159.8869,0.9999,209.1473,198.5925,0.9992,215.7099,173.3072,1.0000,234.2486,206.2191,0.9992,240.5291,183.7923,1.0000,253.9741,218.8670,0.9999,226.2463,152.4870,1.0000,229.0143,189.7040,0.9998,238.8792,173.0820,0.9982,247.6386,200.8692,0.9973,258.9803,181.2010,0.9999,270.7271,210.3745,0.9985
43,193.5094,160.0042,0.9998,208.7592,198.5129,0.9998,215.6687,173.2702,1.0000,234.4127,206.0716,0.9995,240.7212,183.9954,1.0000,254.0783,218.4958,0.9993,226.3413,152.6369,0.9999,228.7603,189.6999,0.9999,239.0696,173.2597,0.9999,247.3321,200.9021,0.9979,259.0624,181.2783,0.9999,270.9720,210.2653,0.9976
44,193.3867,160.1147,0.9998,207.8280,198.7404,0.9999,215.3969,173.1065,0.9964,234.2607,206.1661,0.9993,240.7127,184.2029,0.9999,253.8460,218.5836,0.9992,226.5007,152.6258,0.9999,228.4305,189.5721,0.9999,238.9514,173.4473,0.9999,247.2982,200.9349,0.9980,259.0945,181.5003,0.9998,270.8151,210.3633,0.9982
45,192.7969,159.8470,0.9983,206.8071,198.9278,0.9995,215.2126,172.8606,0.9984,233.7402,206.1876,0.9986,240.5630,184.3094,0.9999,253.4377,218.4096,0.9996,226.7124,152.2619,0.9999,227.8620,189.4365,0.9988,238.8029,173.6710,0.9999,246.8503,200.8402,0.9987,259.0339,181.5354,0.9998,270.4422,210.3415,0.9990
46,192.1745,159.7726,0.9996,206.3944,198.9780,0.9996,215.1923,172.4557,0.9992,233.7097,205.8914,0.9992,240.7695,184.1749,0.9999,253.0401,218.1834,0.9998,226.8700,151.7255,0.9984,227.9714,188.3863,0.9996,239.0819,173.3651,0.9999,246.8671,200.1771,0.9998,259.1134,181.3748,0.9999,270.2776,209.9352,0.9883
47,191.9309,159.8772,0.9996,206.6285,198.4963,0.9997,215.2564,172.2587,0.9993,233.7188,205.8446,0.9993,240.8376,183.9739,1.0000,252.6144,218.0845,0.9993,226.9696,151.5564,0.9989,228.0412,187.6916,1.0000,239.2643,173.1422,0.9967,246.9164,199.7445,0.9999,259.2250,181.2788,0.9999,270.2490,209.5606,0.9951
