scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,380.5615,210.0494,0.9995,393.9388,252.1040,0.9985,412.1838,212.6892,0.9998,423.2184,250.6275,0.9992,440.9973,212.1879,1.0000,454.7668,250.1356,0.9994,353.2232,188.2084,1.0000,360.3891,236.3218,0.9963,404.1429,204.0417,0.9989,409.0743,238.0541,0.9999,434.7127,203.3651,1.0000,438.5371,235.3689,0.9987
35,380.8532,210.1949,0.9990,394.3551,252.1568,0.9982,411.9950,211.9014,0.9999,422.5281,250.0384,0.9999,440.3967,211.4642,1.0000,455.3492,248.8001,0.9988,352.5864,188.2398,0.9986,358.5466,237.2708,0.9943,403.6212,203.8562,0.9998,409.5490,237.9061,0.9999,433.1989,203.2743,0.9997,437.6549,234.8804,0.9998
36,380.3852,209.9478,0.9996,392.9499,252.6361,0.9998,412.1659,212.0762,0.9999,421.2724,251.1577,0.9992,440.6780,212.1255,1.0000,455.0024,248.9178,0.9988,352.4810,188.4953,0.9991,357.0497,237.5240,0.9990,403.3045,204.0312,0.9998,409.2980,238.2918,0.9999,433.5460,203.6505,0.9993,437.4545,235.7978,0.9983
37,380.0711,209.5180,0.9998,390.6548,252.6150,0.9995,411.7464,211.7239,0.9999,420.4445,251.7241,0.9965,440.6956,212.4480,0.9999,454.9417,248.6396,0.9994,352.9778,188.3553,1.0000,357.3262,236.7678,0.9927,402.9800,203.7556,0.9999,409.2493,238.2443,0.9999,434.0807,203.8098,0.9998,437.8352,236.3366,0.9973
38,380.1010,208.9210,0.9991,389.3138,253.0156,0.9999,411.5438,211.5399,1.0000,420.0542,251.7996,0.9961,440.5766,212.9838,0.9995,455.5146,248.1547,0.9996,352.7030,187.9539,0.9995,357.1139,235.6108,0.9989,402.8382,203.4052,0.9999,409.0808,237.7512,1.0000,434.1375,203.9065,0.9995,437.6627,235.9655,0.9996
39,380.9232,209.0194,0.9982,390.3820,253.0614,0.9998,411.9289,211.4662,1.0000,420.2167,251.8548,0.9996,440.8398,212.8348,0.9997,456.0552,247.9609,0.9989,352.7083,188.1798,1.0000,358.8995,236.2039,0.9916,402.7824,203.4749,0.9999,409.5845,237.9572,0.9999,434.2682,203.7835,0.9996,438.0186,235.6628,0.9997
40,380.0040,209.2430,0.9981,390.2656,253.2997,0.9997,411.5494,211.7462,1.0000,420.2731,251.7907,0.9954,440.6296,212.9399,0.9996,456.3259,247.6844,0.9983,352.7840,188.6507,1.0000,359.5819,235.5977,0.9993,402.4034,203.6111,0.9999,409.0479,237.7438,1.0000,434.2552,203.9670,0.9994,437.9614,235.4659,0.9998
41,379.8542,209.5206,0.9999,391.8051,253.5027,0.9995,411.5559,212.0078,1.0000,421.1845,251.7073,0.9966,440.6053,212.8276,0.9997,456.3385,248.1058,0.9983,352.6548,189.0211,1.0000,360.7718,236.1470,0.9982,402.3021,203.9038,0.9999,409.2838,237.9844,0.9999,434.0980,204.1605,0.9993,437.8866,235.7419,0.9995
42,380.0688,210.7915,0.9994,392.8247,254.6531,0.9999,411.8043,212.8191,0.9998,422.1292,252.6152,0.9998,440.9181,213.3503,0.9988,456.7307,248.9670,0.9996,352.8872,189.9901,0.9993,362.4317,237.4678,0.9997,402.4854,204.7243,0.9990,410.0179,238.7811,0.9996,434.1824,204.8759,0.9965,438.3341,236.3264,0.9976
43,379.3835,210.9384,0.9991,393.6921,255.3753,0.9991,411.6497,213.0844,0.9995,421.6790,253.4563,0.9991,440.8016,213.7696,1.0000,456.2141,249.6867,0.9961,353.1993,189.6755,0.9997,362.0845,236.0650,0.9952,402.3078,204.6799,0.9985,410.0458,238.8047,0.9996,434.2849,205.1518,0.9999,437.9538,236.5576,0.9965
