scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
46,191.7273,161.3326,0.9999,205.5911,200.7149,0.9992,216.1230,174.0526,0.9998,236.5512,207.5898,0.9997,241.2394,183.5731,0.9977,252.6595,216.8735,0.9988,226.5041,151.0903,1.0000,225.6606,186.6745,0.9987,239.5582,171.0232,0.9985,247.4115,200.6724,0.9991,259.7260,180.4937,0.9998,271.6861,207.6575,0.9998
47,192.0654,161.4252,0.9998,205.2216,200.7761,0.9989,216.3605,173.7719,0.9998,236.9338,207.8412,0.9992,241.2144,183.5396,0.9979,252.9029,217.0356,0.9980,226.3922,151.0275,1.0000,225.6781,186.5281,0.9986,239.6924,170.9721,0.9985,247.6656,200.7580,0.9986,259.8019,180.4079,0.9997,271.9146,207.5699,0.9998
48,192.5303,161.4447,0.9992,204.8291,200.9298,0.9972,216.4838,174.0397,0.9997,237.3192,208.2852,0.9968,241.3085,183.6655,0.9970,253.0762,217.1954,1.0000,226.5528,151.0158,1.0000,226.0320,186.9084,0.9991,240.0828,171.1704,0.9963,248.0752,201.0054,0.9966,260.0745,180.4593,0.9994,272.3463,207.5152,0.9997
49,192.6445,161.2135,0.9988,204.3031,200.8677,0.9985,216.5487,173.9919,0.9997,237.4328,208.3199,0.9997,241.2364,183.6794,0.9968,252.8324,217.1465,1.0000,226.5196,150.7317,1.0000,225.9427,186.8452,0.9992,240.4338,171.1653,0.9979,248.3336,201.0961,0.9945,260.3039,180.3760,0.9990,272.6585,207.3705,0.9995
50,192.5802,161.1205,0.9989,204.3372,200.8890,0.9983,216.6251,173.9707,0.9997,237.5768,208.3532,0.9996,241.2645,183.6590,0.9970,252.7679,217.1202,1.0000,226.4318,150.6609,1.0000,225.8096,186.7327,0.9971,240.5000,171.0938,0.9983,248.4163,201.0666,0.9942,260.2303,180.3167,0.9992,272.6179,207.2488,0.9996
51,192.4783,161.0663,0.9992,204.3163,200.7128,0.9989,216.5312,174.0629,0.9996,237.4954,208.3481,0.9997,241.1522,183.6484,0.9971,252.7173,217.1024,1.0000,226.3479,150.6756,1.0000,225.6299,186.7412,0.9979,240.3999,171.1256,0.9980,248.4051,201.0528,0.9942,260.1631,180.2981,0.9993,272.6875,207.2639,0.9995
52,192.3923,161.0738,0.9993,204.3043,200.8023,0.9986,216.6296,174.1361,0.9995,237.3907,208.2605,0.9974,241.1712,183.7472,0.9999,252.5918,217.1316,0.9983,226.3139,150.7607,1.0000,225.4467,186.5891,0.9987,240.2861,171.1195,0.9981,248.3107,201.0442,0.9949,260.0397,180.3197,0.9995,272.5287,207.5452,0.9996
53,192.0717,161.0176,0.9997,204.2055,200.7320,0.9987,216.3296,173.7748,0.9998,236.8539,207.8000,0.9994,240.7461,183.5421,0.9980,252.1349,216.6372,0.9991,225.9032,150.6117,1.0000,224.6486,185.9344,0.9999,239.6112,170.6871,0.9992,247.6722,200.5436,0.9989,259.2135,179.9622,0.9990,271.8253,207.2609,0.9999
54,191.8581,161.0447,0.9998,204.6002,200.7475,0.9978,216.1783,173.8534,0.9998,236.5069,207.6727,0.9997,240.6784,183.7709,1.0000,251.9330,216.4930,0.9995,225.6708,150.6375,0.9992,224.1326,185.7991,1.0000,239.0249,170.6933,0.9995,247.2545,200.4314,0.9994,258.6999,179.9840,0.9966,271.1113,207.3722,0.9983
55,191.8674,161.0816,0.9998,204.9100,200.8035,0.9960,216.0860,173.9202,0.9998,236.1537,207.9215,0.9970,240.4090,183.7838,1.0000,251.4406,216.5767,0.9997,225.6029,150.7687,0.9994,223.8114,185.8209,1.0000,238.8129,170.8567,0.9992,246.9496,200.5537,0.9992,258.2032,179.9775,0.9984,270.6238,207.4276,0.9995
56,191.7754,160.9660,0.9999,205.1697,200.6750,0.9938,216.0440,173.8967,0.9998,235.6114,207.9716,0.9987,240.1579,183.8447,0.9988,250.8748,216.5846,0.9997,225.5257,150.7947,0.9996,223.5876,185.7728,0.9984,238.6241,170.9835,0.9987,246.6146,200.5406,0.9994,257.8200,180.1751,0.9982,269.7500,207.3582,0.9999
57,191.9505,161.0470,0.9998,204.6996,200.9215,0.9959,216.0838,173.8936,0.9998,235.1399,207.9009,0.9993,240.0725,183.8696,0.9991,250.1889,216.9452,0.9985,225.5383,150.6825,0.9996,223.9278,186.2193,0.9999,238.6835,171.4319,0.9999,246.6561,200.6032,0.9995,257.8467,180.5563,0.9998,269.8389,207.2749,0.9999
58,191.8713,161.0004,0.9999,204.6285,200.8698,0.9969,216.0346,173.9649,0.9998,234.8266,207.8408,0.9995,239.7119,183.7900,0.9997,249.9302,217.0200,0.9984,225.5937,150.7542,0.9995,223.8888,186.3160,0.9999,238.5711,171.4472,1.0000,246.5705,200.6719,0.9994,257.4918,180.5076,0.9999,269.5655,207.7007,0.9997
59,191.5598,161.2181,0.9999,204.7851,201.1962,0.9950,215.8531,174.3943,0.9995,234.5234,207.9215,0.9993,239.4803,183.9580,0.9999,249.6881,217.4752,0.9999,225.5007,150.7079,0.9996,223.8358,186.8998,0.9994,238.3017,171.6750,1.0000,246.2745,200.8019,0.9983,257.1641,180.5902,1.0000,269.5660,208.1600,0.9983
60,191.2253,160.7294,0.9990,205.2974,200.8892,0.9978,215.6529,173.8980,0.9999,233.9350,207.4086,0.9983,239.2748,183.7532,0.9999,248.9405,217.0360,0.9983,225.3610,150.2995,0.9998,223.1538,186.4301,0.9995,238.1828,171.0962,0.9949,245.9276,200.0733,0.9996,257.0953,180.3041,1.0000,269.1370,207.5919,0.9961
61,192.1658,159.7935,0.9997,206.3364,199.5485,0.9997,215.2154,173.9596,0.9984,232.5814,206.8531,1.0000,238.7516,183.7104,1.0000,247.5427,216.1902,0.9998,225.0621,150.2207,0.9990,221.0768,185.9793,0.9997,237.6051,170.4014,0.9991,245.4075,200.0224,0.9999,257.3666,180.1154,0.9986,268.5755,206.8284,0.9988
62,190.6196,161.9000,0.9989,205.3905,201.5169,1.0000,214.2414,174.4823,0.9996,233.3766,207.6774,0.9991,238.5137,183.6251,0.9965,248.5164,217.2570,0.9983,225.5081,149.7448,0.9995,222.5120,187.5356,1.0000,237.8119,171.0543,0.9972,245.6020,200.7146,0.9993,257.7498,179.9630,0.9990,269.0462,206.8789,0.9965
